DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
SEGME	01	16	10000	1	1	22897235	0
SEGME	02	16	10000	1	1	20886439	0
SEGME	03	16	10000	1	1	19225338	0
SEGME	04	16	10000	1	1	27288787	0
SEGME	05	16	10000	1	1	25756289	0
SEGME	06	16	10000	1	1	26350629	0
SEGME	07	16	10000	1	1	26972052	0
SEGME	08	16	10000	1	1	25988253	0
SEGME	09	16	10000	1	1	26624715	0
SEGME	10	16	10000	1	1	25891352	0
SEGME	11	16	10000	1	1	22863885	0
SEGME	12	16	10000	1	1	21409508	0
SEGME	13	16	10000	1	1	20828967	0
SEGME	14	16	10000	1	1	25436852	0
SEGME	15	16	10000	1	1	24584757	0
SEGME	16	16	10000	1	1	26723597	0
SEGME	17	16	10000	1	1	23238372	0
SEGME	18	16	10000	1	1	24618048	0
SEGME	19	16	10000	1	1	60181	0
COMPA	01	16	10000	1	1	203285762	0
COMPA	02	16	10000	1	1	202453565	0
COMPA	03	16	10000	1	1	138718356	0
COMPA	04	16	10000	1	1	203788528	0
COMPA	05	16	10000	1	1	203072714	0
COMPA	06	16	10000	1	1	204312593	0
COMPA	07	16	10000	1	1	203083438	0
COMPA	08	16	10000	1	1	203629833	0
COMPA	09	16	10000	1	1	204116586	0
COMPA	10	16	10000	1	1	203611527	0
COMPA	11	16	10000	1	1	172813107	0
COMPA	12	16	10000	1	1	161644382	0
COMPA	13	16	10000	1	1	156467260	0
COMPA	14	16	10000	1	1	189004882	0
COMPA	15	16	10000	1	1	183119445	0
COMPA	16	16	10000	1	1	206167240	0
COMPA	17	16	10000	1	1	204008800	0
COMPA	18	16	10000	1	1	208259361	0
COMPA	19	16	10000	1	1	62172	0
BOOST	01	16	10000	1	1	193117051	0
BOOST	02	16	10000	1	1	192951642	0
BOOST	03	16	10000	1	1	131845550	0
BOOST	04	16	10000	1	1	193642267	0
BOOST	05	16	10000	1	1	191950298	0
BOOST	06	16	10000	1	1	192926763	0
BOOST	07	16	10000	1	1	192750844	0
BOOST	08	16	10000	1	1	193242130	0
BOOST	09	16	10000	1	1	193248715	0
BOOST	10	16	10000	1	1	193693529	0
BOOST	11	16	10000	1	1	163116563	0
BOOST	12	16	10000	1	1	153646049	0
BOOST	13	16	10000	1	1	150326060	0
BOOST	14	16	10000	1	1	177275665	0
BOOST	15	16	10000	1	1	172826852	0
BOOST	16	16	10000	1	1	199921730	0
BOOST	17	16	10000	1	1	198492737	0
BOOST	18	16	10000	1	1	199585845	0
BOOST	19	16	10000	1	1	59461	0
STMVE	01	16	10000	1	1	4327586	0
STMVE	02	16	10000	1	1	4268324	0
STMVE	03	16	10000	1	1	4269885	1630
STMVE	04	16	10000	1	1	4330626	0
STMVE	05	16	10000	1	1	4206484	0
STMVE	06	16	10000	1	1	4257885	0
STMVE	07	16	10000	1	1	4373326	0
STMVE	08	16	10000	1	1	4243054	0
STMVE	09	16	10000	1	1	4294095	0
STMVE	10	16	10000	1	1	4314665	0
STMVE	11	16	10000	1	1	4355466	0
STMVE	12	16	10000	1	1	4376987	0
STMVE	13	16	10000	1	1	4357926	0
STMVE	14	16	10000	1	1	4299105	0
STMVE	15	16	10000	1	1	4240334	0
STMVE	16	16	10000	1	1	4362846	0
STMVE	17	16	10000	1	1	4236603	0
STMVE	18	16	10000	1	1	4315795	0
STMVE	19	16	10000	1	1	69161	1
SEGME	01	16	10000	2	1	29126431	0
SEGME	02	16	10000	2	1	25179063	0
SEGME	03	16	10000	2	1	25792995	0
SEGME	04	16	10000	2	1	52728810	0
SEGME	05	16	10000	2	1	49081559	0
SEGME	06	16	10000	2	1	50794231	0
SEGME	07	16	10000	2	1	52552275	0
SEGME	08	16	10000	2	1	51121846	0
SEGME	09	16	10000	2	1	51843830	0
SEGME	10	16	10000	2	1	50006593	0
SEGME	11	16	10000	2	1	41161160	0
SEGME	12	16	10000	2	1	35790136	0
SEGME	13	16	10000	2	1	32445740	0
SEGME	14	16	10000	2	1	48048482	0
SEGME	15	16	10000	2	1	46220216	0
SEGME	16	16	10000	2	1	28014583	0
SEGME	17	16	10000	2	1	25745179	0
SEGME	18	16	10000	2	1	27966961	50
SEGME	19	16	10000	2	1	59041	0
COMPA	01	16	10000	2	1	399057571	0
COMPA	02	16	10000	2	1	397546897	0
COMPA	03	16	10000	2	1	202019679	0
COMPA	04	16	10000	2	1	407860459	0
COMPA	05	16	10000	2	1	405256614	0
COMPA	06	16	10000	2	1	406039787	0
COMPA	07	16	10000	2	1	407912879	0
COMPA	08	16	10000	2	1	404935084	0
COMPA	09	16	10000	2	1	404207497	0
COMPA	10	16	10000	2	1	406339769	0
COMPA	11	16	10000	2	1	330700373	0
COMPA	12	16	10000	2	1	298628107	0
COMPA	13	16	10000	2	1	282415028	0
