DS	TESTCASE	SGMT_SIZE	NUM_TXN	TXN_SIZE	THRD_CNT	TIME	ABORTS	SYSTEM	THRUPUT	RELATIVE
SEGME	1	16	10000	1	1	11135086	0	INTEL	898062.2152356973	1.0
SEGME	2	16	10000	1	1	9941093	0	INTEL	1005925.6059670702	1.0
SEGME	3	16	10000	1	1	10012183	0	INTEL	998783.1824488227	1.0
SEGME	4	16	10000	1	1	14246848	0	INTEL	701909.6434523623	1.0
SEGME	5	16	10000	1	1	12317450	0	INTEL	811856.3501374067	1.0
SEGME	6	16	10000	1	1	13682442	0	INTEL	730863.6864676642	1.0
SEGME	7	16	10000	1	1	13994054	0	INTEL	714589.2105318444	1.0
SEGME	8	16	10000	1	1	13547653	0	INTEL	738135.2327225978	1.0
SEGME	9	16	10000	1	1	14081018	0	INTEL	710175.9262007903	1.0
SEGME	10	16	10000	1	1	13217119	0	INTEL	756594.5347091147	1.0
SEGME	11	16	10000	1	1	12214180	0	INTEL	818720.5362947001	1.0
SEGME	12	16	10000	1	1	11258364	0	INTEL	888228.5205914465	1.0
SEGME	13	16	10000	1	1	10849072	0	INTEL	921737.822368586	1.0
SEGME	14	16	10000	1	1	13428384	0	INTEL	744691.2450522714	1.0
SEGME	15	16	10000	1	1	12765952	0	INTEL	783333.6675556982	1.0
SEGME	16	16	10000	1	1	13252645	0	INTEL	754566.3526035746	1.0
SEGME	17	16	10000	1	1	11773148	0	INTEL	849390.4943690506	1.0
SEGME	18	16	10000	1	1	12494299	0	INTEL	800365.0304831028	1.0
SEGME	19	16	10000	1	1	60875	0	INTEL	164271047.22792608	1.0
COMPA	1	16	10000	1	1	44249279	0	INTEL	225992.38283633956	1.0
COMPA	2	16	10000	1	1	39752514	0	INTEL	251556.41728721862	1.0
COMPA	3	16	10000	1	1	17963285	0	INTEL	556691.0506625042	1.0
COMPA	4	16	10000	1	1	24326764	0	INTEL	411069.88171546365	1.0
COMPA	5	16	10000	1	1	41289370	0	INTEL	242193.08747021327	1.0
COMPA	6	16	10000	1	1	25128056	0	INTEL	397961.5454534167	1.0
COMPA	7	16	10000	1	1	43955589	0	INTEL	227502.35470624678	1.0
COMPA	8	16	10000	1	1	43638568	0	INTEL	229155.09051534414	1.0
COMPA	9	16	10000	1	1	42528382	0	INTEL	235137.09033181652	1.0
COMPA	10	16	10000	1	1	23733901	0	INTEL	421338.23681155493	1.0
COMPA	11	16	10000	1	1	39728007	0	INTEL	251711.59479507743	1.0
COMPA	12	16	10000	1	1	38305795	0	INTEL	261057.10637254754	1.0
COMPA	13	16	10000	1	1	36276485	0	INTEL	275660.66557992046	1.0
COMPA	14	16	10000	1	1	22930962	0	INTEL	436091.6040068446	1.0
COMPA	15	16	10000	1	1	21398027	0	INTEL	467332.8059638396	1.0
COMPA	16	16	10000	1	1	42451059	0	INTEL	235565.38365744893	1.0
COMPA	17	16	10000	1	1	22408950	0	INTEL	446250.27053922653	1.0
COMPA	18	16	10000	1	1	43347483	0	INTEL	230693.90211191733	1.0
COMPA	19	16	10000	1	1	67383	0	INTEL	148405384.14733687	1.0
BOOST	1	16	10000	1	1	39334683	0	INTEL	254228.5646486588	1.0
BOOST	2	16	10000	1	1	21357275	0	INTEL	468224.5277077717	1.0
BOOST	3	16	10000	1	1	35683130	0	INTEL	280244.4740693992	1.0
BOOST	4	16	10000	1	1	22411946	0	INTEL	446190.6163793184	1.0
BOOST	5	16	10000	1	1	43965924	0	INTEL	227448.87608867267	1.0
