DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
SEGME	01	16	10000	1	1	11135086	0
SEGME	02	16	10000	1	1	9941093	0
SEGME	03	16	10000	1	1	10012183	0
SEGME	04	16	10000	1	1	14246848	0
SEGME	05	16	10000	1	1	12317450	0
SEGME	06	16	10000	1	1	13682442	0
SEGME	07	16	10000	1	1	13994054	0
SEGME	08	16	10000	1	1	13547653	0
SEGME	09	16	10000	1	1	14081018	0
SEGME	10	16	10000	1	1	13217119	0
SEGME	11	16	10000	1	1	12214180	0
SEGME	12	16	10000	1	1	11258364	0
SEGME	13	16	10000	1	1	10849072	0
SEGME	14	16	10000	1	1	13428384	0
SEGME	15	16	10000	1	1	12765952	0
SEGME	16	16	10000	1	1	13252645	0
SEGME	17	16	10000	1	1	11773148	0
SEGME	18	16	10000	1	1	12494299	0
SEGME	19	16	10000	1	1	60875	0
COMPA	01	16	10000	1	1	44249279	0
COMPA	02	16	10000	1	1	39752514	0
COMPA	03	16	10000	1	1	17963285	0
COMPA	04	16	10000	1	1	24326764	0
COMPA	05	16	10000	1	1	41289370	0
COMPA	06	16	10000	1	1	25128056	0
COMPA	07	16	10000	1	1	43955589	0
COMPA	08	16	10000	1	1	43638568	0
COMPA	09	16	10000	1	1	42528382	0
COMPA	10	16	10000	1	1	23733901	0
COMPA	11	16	10000	1	1	39728007	0
COMPA	12	16	10000	1	1	38305795	0
COMPA	13	16	10000	1	1	36276485	0
COMPA	14	16	10000	1	1	22930962	0
COMPA	15	16	10000	1	1	21398027	0
COMPA	16	16	10000	1	1	42451059	0
COMPA	17	16	10000	1	1	22408950	0
COMPA	18	16	10000	1	1	43347483	0
COMPA	19	16	10000	1	1	67383	0
BOOST	01	16	10000	1	1	39334683	0
BOOST	02	16	10000	1	1	21357275	0
BOOST	03	16	10000	1	1	35683130	0
BOOST	04	16	10000	1	1	22411946	0
BOOST	05	16	10000	1	1	43965924	0
BOOST	06	16	10000	1	1	42661676	0
BOOST	07	16	10000	1	1	21273594	0
BOOST	08	16	10000	1	1	42057509	0
BOOST	09	16	10000	1	1	43686685	0
BOOST	10	16	10000	1	1	20997998	0
BOOST	11	16	10000	1	1	19426967	0
BOOST	12	16	10000	1	1	18411901	0
BOOST	13	16	10000	1	1	18275456	0
BOOST	14	16	10000	1	1	40537753	0
BOOST	15	16	10000	1	1	39739900	0
BOOST	16	16	10000	1	1	39279026	0
BOOST	17	16	10000	1	1	21796816	0
BOOST	18	16	10000	1	1	40142744	0
BOOST	19	16	10000	1	1	143418	0
STMVE	01	16	10000	1	1	3408202	0
STMVE	02	16	10000	1	1	3312934	0
STMVE	03	16	10000	1	1	3664502	1647
STMVE	04	16	10000	1	1	3420130	0
STMVE	05	16	10000	1	1	3338903	0
STMVE	06	16	10000	1	1	3586260	0
STMVE	07	16	10000	1	1	3483497	0
STMVE	08	16	10000	1	1	3598051	0
STMVE	09	16	10000	1	1	3494540	0
STMVE	10	16	10000	1	1	3505800	0
STMVE	11	16	10000	1	1	3679971	0
STMVE	12	16	10000	1	1	3571657	0
STMVE	13	16	10000	1	1	3634936	0
STMVE	14	16	10000	1	1	3664393	0
STMVE	15	16	10000	1	1	3656185	0
STMVE	16	16	10000	1	1	3518569	0
STMVE	17	16	10000	1	1	3405320	0
STMVE	18	16	10000	1	1	3485343	0
STMVE	19	16	10000	1	1	148218	1
SEGME	01	16	10000	2	1	14652914	0
SEGME	02	16	10000	2	1	11373788	0
SEGME	03	16	10000	2	1	13671298	0
SEGME	04	16	10000	2	1	24294218	0
SEGME	05	16	10000	2	1	22381313	0
SEGME	06	16	10000	2	1	24929536	0
SEGME	07	16	10000	2	1	25753304	0
SEGME	08	16	10000	2	1	23604003	0
SEGME	09	16	10000	2	1	24864081	0
SEGME	10	16	10000	2	1	22748915	0
SEGME	11	16	10000	2	1	21174614	0
SEGME	12	16	10000	2	1	17724856	0
SEGME	13	16	10000	2	1	16898130	0
SEGME	14	16	10000	2	1	22519038	0
SEGME	15	16	10000	2	1	23074741	0
SEGME	16	16	10000	2	1	14183680	0
SEGME	17	16	10000	2	1	12644106	0
SEGME	18	16	10000	2	1	14535715	0
SEGME	19	16	10000	2	1	67019	0
COMPA	01	16	10000	2	1	44462763	0
COMPA	02	16	10000	2	1	63945377	0
COMPA	03	16	10000	2	1	41951093	0
COMPA	04	16	10000	2	1	63497690	0
COMPA	05	16	10000	2	1	46800774	0
COMPA	06	16	10000	2	1	63988737	0
